SoftReset kind:function(thumb,size=0x4) addr:0x200007e
CpuSet kind:function(thumb,size=0x4) addr:0x20000d4
LZ77UnCompReadNormalWrite8bit kind:function(thumb,size=0x4) addr:0x2000144
BitUnPack kind:function(thumb,size=0x4) addr:0x20001b2
RLUnCompReadByCallbackWrite16bit kind:function(thumb,size=0x4) addr:0x200021a
HuffUnCompReadByCallback kind:function(thumb,size=0x4) addr:0x2000280
GetCRC16 kind:function(thumb,size=0x4) addr:0x20002e0
IntrWait kind:function(thumb,size=0x4) addr:0x2000364
WaitByLoop kind:function(thumb,size=0x4) addr:0x20003bc
Div kind:function(thumb,size=0x4) addr:0x200043a
LZ77UnCompReadByCallbackWrite16bit kind:function(thumb,size=0x4) addr:0x200049a
RLUnCompReadNormalWrite8bit kind:function(thumb,size=0x4) addr:0x2000504
Mod kind:function(thumb,size=0x6) addr:0x2000572
VBlankIntrWait kind:function(thumb,size=0x4) addr:0x20005e4
Halt kind:function(thumb,size=0x4) addr:0x200066a
Sqrt kind:function(thumb,size=0x4) addr:0x20006b0
CpuFastSet kind:function(thumb,size=0x4) addr:0x2000720
IsDebugger kind:function(thumb,size=0x4) addr:0x200078c
Entry kind:function(arm,size=0x13c) addr:0x2000800
func_0200093c kind:function(arm,size=0x14) addr:0x200093c
func_02000950 kind:function(arm,size=0xac) addr:0x2000950
func_020009fc kind:function(arm,size=0x7c) addr:0x20009fc
AutoloadCallback kind:function(arm,size=0x4) addr:0x2000a74
func_02000a78 kind:function(arm,size=0xe8) addr:0x2000a78
func_02000b60 kind:function(arm,size=0x4) addr:0x2000b60
func_02000b64 kind:function(arm,size=0x4) addr:0x2000b64
BuildInfo kind:data(any) addr:0x2000b68
main kind:function(arm,size=0x20) addr:0x2000c50
func_02000c70 kind:function(arm,size=0xc) addr:0x2000c70
func_02000c7c kind:function(arm,size=0x98) addr:0x2000c7c
func_02000d14 kind:function(arm,size=0x18) addr:0x2000d14
func_02000d2c kind:function(arm,size=0x1ec) addr:0x2000d2c
func_02000f18 kind:function(arm,size=0xd4) addr:0x2000f18
func_02000fec kind:function(arm,size=0xb4) addr:0x2000fec
func_020010a0 kind:function(arm,size=0x3ec) addr:0x20010a0
func_0200148c kind:function(arm,size=0x128) addr:0x200148c
func_020015b4 kind:function(arm,size=0x30) addr:0x20015b4
func_020015e4 kind:function(arm,size=0x14) addr:0x20015e4
func_020015f8 kind:function(arm,size=0xf0) addr:0x20015f8
func_020016e8 kind:function(arm,size=0x88) addr:0x20016e8
func_02001770 kind:function(arm,size=0xb0) addr:0x2001770
func_02001820 kind:function(arm,size=0x330) addr:0x2001820
func_02001b50 kind:function(arm,size=0x5c) addr:0x2001b50
func_02001bac kind:function(arm,size=0xf4) addr:0x2001bac
func_02001ca0 kind:function(arm,size=0x30) addr:0x2001ca0
func_02001cd0 kind:function(arm,size=0xec) addr:0x2001cd0
func_02001dbc kind:function(arm,size=0x28) addr:0x2001dbc
func_02001de4 kind:function(arm,size=0xec) addr:0x2001de4
func_02001ed0 kind:function(arm,size=0x168) addr:0x2001ed0
func_02002038 kind:function(arm,size=0x20) addr:0x2002038
func_02002058 kind:function(arm,size=0x88) addr:0x2002058
func_020020e0 kind:function(arm,size=0x10) addr:0x20020e0
func_020020f0 kind:function(arm,size=0x90) addr:0x20020f0
func_02002180 kind:function(arm,size=0xc) addr:0x2002180
func_0200218c kind:function(arm,size=0x23c) addr:0x200218c
func_020023c8 kind:function(arm,size=0x20) addr:0x20023c8
func_020023e8 kind:function(arm,size=0x20) addr:0x20023e8
func_02002408 kind:function(arm,size=0x1c) addr:0x2002408
func_02002424 kind:function(arm,size=0x18) addr:0x2002424
func_0200243c kind:function(arm,size=0x18) addr:0x200243c
func_02002454 kind:function(arm,size=0x18) addr:0x2002454
func_0200246c kind:function(arm,size=0x28) addr:0x200246c
func_02002494 kind:function(arm,size=0x1c) addr:0x2002494
func_020024b0 kind:function(arm,size=0x20) addr:0x20024b0
func_020024d0 kind:function(arm,size=0x14) addr:0x20024d0
func_020024e4 kind:function(arm,size=0x48) addr:0x20024e4
func_0200252c kind:function(arm,size=0x13c) addr:0x200252c
func_02002668 kind:function(arm,size=0xc) addr:0x2002668
func_02002674 kind:function(arm,size=0x2c) addr:0x2002674
func_020026a0 kind:function(arm,size=0x18) addr:0x20026a0
func_020026b8 kind:function(arm,size=0xd8) addr:0x20026b8
func_02002790 kind:function(arm,size=0x14) addr:0x2002790
func_020027a4 kind:function(arm,size=0x9c) addr:0x20027a4
func_02002840 kind:function(arm,size=0x16c) addr:0x2002840
func_020029ac kind:function(arm,size=0x140) addr:0x20029ac
func_02002aec kind:function(arm,size=0x8) addr:0x2002aec
func_02002af4 kind:function(arm,size=0x148) addr:0x2002af4
func_02002c3c kind:function(arm,size=0x140) addr:0x2002c3c
func_02002d7c kind:function(arm,size=0x268) addr:0x2002d7c
func_02002fe4 kind:function(arm,size=0x590) addr:0x2002fe4
func_02003574 kind:function(arm,size=0x8) addr:0x2003574
func_0200357c kind:function(arm,size=0x8) addr:0x200357c
func_02003584 kind:function(arm,size=0x8) addr:0x2003584
func_0200358c kind:function(arm,size=0x8) addr:0x200358c
func_02003594 kind:function(arm,size=0x8) addr:0x2003594
func_0200359c kind:function(arm,size=0x14) addr:0x200359c
func_020035b0 kind:function(arm,size=0x8) addr:0x20035b0
func_020035b8 kind:function(arm,size=0xf4) addr:0x20035b8
func_020036ac kind:function(arm,size=0xe0) addr:0x20036ac
